file_name,bridge_angle,Fr,Fr_ini,plates,cubes,logs,Q[dm],H_up,H_down,H_up_corr,H_down_corr,pic_side,pic_top,dh,dh_d0,rel_BW,carpet_length_avg,carpet_length_max,exp_id,volume
,22.5,0.009471446064883652,0.28,0,0.25,0.75,9.5,100,14.4,94,90,331,155,4,0.044444444444444446,0.03296703296703297,120,125,21,76
"N3_R_2P_F0,28_h0,9_25P0C75L_0HR_R1_4L_0HW_22,5Deg",22.5,0.009471446064883652,0.28,0.25,0,0.75,9.5,97,14.4,91,90,,,1,0.011111111111111112,,,,22,0
dried debris,22.5,0.009471446064883652,0.28,0.25,0,0.75,9.5,98,14.4,92,90,333,156,2,0.022222222222222223,,,,22,19
,22.5,0.009471446064883652,0.28,0.25,0,0.75,9.5,99.5,14.4,93.5,90,335,157,3.5,0.03888888888888889,,,,22,38
,22.5,0.009471446064883652,0.28,0.25,0,0.75,9.5,100,14.4,94,90,337,158,4,0.044444444444444446,,,,22,57
,22.5,0.009471446064883652,0.28,0.25,0,0.75,9.5,101,14.4,95,90,339,159,5,0.05555555555555555,0.04395604395604396,125,135,22,76
"N3_R_2P_F0,28_h0,9_0P25C75L_0HR_R1_4L_0HW_22,5Deg",22.5,0.009471446064883652,0.28,0,0.25,0.75,9.5,97,14.4,91,90,,,1,0.011111111111111112,,,,23,0
dried debris,22.5,0.009471446064883652,0.28,0,0.25,0.75,9.5,99,14.4,93,90,341,160,3,0.03333333333333333,,,,23,19
,22.5,0.009471446064883652,0.28,0,0.25,0.75,9.5,99,14.4,93,90,343,161,3,0.03333333333333333,,,,23,38
,22.5,0.009471446064883652,0.28,0,0.25,0.75,9.5,100,14.4,94,90,345,162,4,0.044444444444444446,,,,23,57
,22.5,0.009471446064883652,0.28,0,0.25,0.75,9.5,101,14.4,95,90,347,163,5,0.05555555555555555,0.04395604395604396,100,110,23,76
"N3_R_2P_F0,28_h0,9_0P0C100L_0HR_R1_4L_0HW_22,5Deg",22.5,0.009471446064883652,0.28,0,0,1,9.5,97,14.4,91,90,,,1,0.011111111111111112,,,,24,0
dried debris,22.5,0.009471446064883652,0.28,0,0,1,9.5,99,14.4,93,90,349,164,3,0.03333333333333333,,,,24,19
,22.5,0.009471446064883652,0.28,0,0,1,9.5,99,14.4,93,90,351,165,3,0.03333333333333333,,,,24,38
,22.5,0.009471446064883652,0.28,0,0,1,9.5,100,14.4,94,90,353,166,4,0.044444444444444446,,,,24,57
,22.5,0.009471446064883652,0.28,0,0,1,9.5,101,14.4,95,90,355,167,5,0.05555555555555555,0.04395604395604396,138,145,24,76
"N3_R_2P_F0,28_h0,9_25P0C75L_0HR_R1_4L_0HW_22,5Deg",22.5,0.009471446064883652,0.28,0.25,0,0.75,9.5,97,14.4,91,90,,,1,0.011111111111111112,,,,25,0
dried debris,22.5,0.009471446064883652,0.28,0.25,0,0.75,9.5,98,14.4,92,90,357,168,2,0.022222222222222223,,,,25,19
,22.5,0.009471446064883652,0.28,0.25,0,0.75,9.5,100,14.4,94,90,359,,4,0.044444444444444446,,,,25,38
,22.5,0.009471446064883652,0.28,0.25,0,0.75,9.5,100.5,14.4,94.5,90,361,169,4.5,0.05,,,,25,57
,22.5,0.009471446064883652,0.28,0.25,0,0.75,9.5,100.5,14.4,94.5,90,363,170,4.5,0.05,0.038461538461538464,112,120,25,76
"N3_R_2P_F0,28_h0,9_0P0C100L_0HR_R1_4L_0HW_22,5Deg",22.5,0.009471446064883652,0.28,0,0,1,9.5,97,14.4,91,90,,,1,0.011111111111111112,,,,26,0
dried debris,22.5,0.009471446064883652,0.28,0,0,1,9.5,97.5,14.4,91.5,90,365,171,1.5,0.016666666666666666,,,,26,19
,22.5,0.009471446064883652,0.28,0,0,1,9.5,99,14.4,93,90,367,172,3,0.03333333333333333,,,,26,38
,22.5,0.009471446064883652,0.28,0,0,1,9.5,100,14.4,94,90,369,173,4,0.044444444444444446,,,,26,57
,22.5,0.009471446064883652,0.28,0,0,1,9.5,100,14.4,94,90,371,174,4,0.044444444444444446,0.03296703296703297,120,135,26,76
"N3_R_2P_F0,4_h0,9_25P0C75L_0HR_R1_4L_0HW_22,5Deg",22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,96,14.3,90,89,,,1,0.011111111111111112,,,,27,0
dried debris,22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,98,14.3,92,89,373,175,3,0.03333333333333333,,,,27,19
,22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,101.5,14.3,95.5,89,375,176,6.5,0.07222222222222222,,,,27,38
,22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,102,14.3,96,89,377,177,7,0.07777777777777778,,,,27,57
,22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,105,14.2,99,87.99999999999999,379,178,11.000000000000014,0.12222222222222238,0.1,78,88,27,76
"N3_R_2P_F0,48_h0,9_0P25C75L_0HR_R1_4L_0HW_22,5Deg",22.5,0.016236764682657685,0.48,0,0.25,0.75,16.2,96,14.2,90,87.99999999999999,,,2.000000000000014,0.02222222222222238,,,,28,0
dried debris,22.5,0.016236764682657685,0.48,0,0.25,0.75,16.2,101,14.2,95,87.99999999999999,383,179,7.000000000000014,0.07777777777777793,,,,28,19
,22.5,0.016236764682657685,0.48,0,0.25,0.75,16.2,102,14.2,96,87.99999999999999,385,180,8.000000000000014,0.08888888888888904,,,,28,38
,22.5,0.016236764682657685,0.48,0,0.25,0.75,16.2,108,14.2,102,87.99999999999999,389,181,14.000000000000014,0.15555555555555572,,,,28,57
